+-----------------+------+--------+-------+-----------+
|    series id    | year | period | value | footnotes |
+-----------------+------+--------+-------+-----------+
| LIUR0000SL00019 | 2013 |  M12   | 200.2 |           |
| LIUR0000SL00019 | 2013 |  M11   | 197.7 |           |
| LIUR0000SL00019 | 2013 |  M10   | 198.0 |           |
| LIUR0000SL00019 | 2013 |  M09   | 200.0 |           |
| LIUR0000SL00019 | 2013 |  M08   | 201.3 |           |
| LIUR0000SL00019 | 2013 |  M07   | 203.2 |           |
| LIUR0000SL00019 | 2013 |  M06   | 205.0 |           |
| LIUR0000SL00019 | 2013 |  M05   | 206.6 |           |
| LIUR0000SL00019 | 2013 |  M04   | 209.0 |           |
| LIUR0000SL00019 | 2013 |  M03   | 209.8 |           |
| LIUR0000SL00019 | 2013 |  M02   | 210.2 |           |
| LIUR0000SL00019 | 2013 |  M01   | 209.3 |           |
| LIUR0000SL00019 | 2012 |  M12   | 206.7 |           |
| LIUR0000SL00019 | 2012 |  M11   | 208.3 |           |
| LIUR0000SL00019 | 2012 |  M10   | 208.3 |           |
| LIUR0000SL00019 | 2012 |  M09   | 206.6 |           |
| LIUR0000SL00019 | 2012 |  M08   | 207.9 |           |
| LIUR0000SL00019 | 2012 |  M07   | 209.7 |           |
| LIUR0000SL00019 | 2012 |  M06   | 210.5 |           |
| LIUR0000SL00019 | 2012 |  M05   | 209.4 |           |
| LIUR0000SL00019 | 2012 |  M04   | 211.4 |           |
| LIUR0000SL00019 | 2012 |  M03   | 210.3 |           |
| LIUR0000SL00019 | 2012 |  M02   | 208.9 |           |
| LIUR0000SL00019 | 2012 |  M01   | 206.3 |           |
| LIUR0000SL00019 | 2011 |  M12   | 202.8 |           |
| LIUR0000SL00019 | 2011 |  M11   | 202.8 |           |
| LIUR0000SL00019 | 2011 |  M10   | 203.8 |           |
| LIUR0000SL00019 | 2011 |  M09   | 202.9 |           |
| LIUR0000SL00019 | 2011 |  M08   | 204.1 |           |
| LIUR0000SL00019 | 2011 |  M07   | 202.1 |           |
| LIUR0000SL00019 | 2011 |  M06   | 200.7 |           |
| LIUR0000SL00019 | 2011 |  M05   | 201.0 |           |
| LIUR0000SL00019 | 2011 |  M04   | 200.7 |           |
| LIUR0000SL00019 | 2011 |  M03   | 197.8 |           |
| LIUR0000SL00019 | 2011 |  M02   | 199.2 |           |
| LIUR0000SL00019 | 2011 |  M01   | 198.3 |           |
+-----------------+------+--------+-------+-----------+
